Entity,Code,Year,Gas - Proved reserves
Argentina,ARG,2000,758549988269.8059
Argentina,ARG,2001,744899988174.4385
Argentina,ARG,2002,647400021553.0396
Argentina,ARG,2003,596700012683.8684
Argentina,ARG,2004,528450012207.03125
Argentina,ARG,2005,428025007247.9248
Argentina,ARG,2006,434850007295.6085
Argentina,ARG,2007,429819703102.1118
Argentina,ARG,2008,387569457292.55676
Argentina,ARG,2009,368265330791.4734
Argentina,ARG,2010,348847329616.54663
Argentina,ARG,2011,323366194963.4552
Argentina,ARG,2012,306831240653.9917
Argentina,ARG,2013,319232553243.6371
Argentina,ARG,2014,323081463575.36316
Argentina,ARG,2015,340845793485.6415
Argentina,ARG,2016,327410250902.1759
Argentina,ARG,2017,345684438943.8629
Argentina,ARG,2018,360488086938.85803
Argentina,ARG,2019,385567754507.0648
Argentina,ARG,2020,385567754507.0648
Asia,,1980,27849548339843.75
Asia,,1981,28529972076416.016
Asia,,1982,29702264785766.6
Asia,,1983,30301109313964.844
Asia,,1984,32050346374511.72
Asia,,1985,32623706817626.953
Asia,,1986,35737560272216.8
Asia,,1987,36640716552734.375
Asia,,1988,39863506317138.67
Asia,,1989,43793907165527.34
Asia,,1990,44337932586669.92
Asia,,1991,48147548675537.11
Asia,,1992,49564495086669.92
Asia,,1993,50207496643066.41
Asia,,1994,51371517181396.484
Asia,,1995,51270561218261.72
Asia,,1996,54552772521972.66
Asia,,1997,59986354827880.86
Asia,,1998,64140472412109.375
Asia,,1999,67051811218261.72
Asia,,2000,71785507202148.44
Asia,,2001,84077163696289.06
Asia,,2002,85001556396484.38
Asia,,2003,85721572875976.56
Asia,,2004,86088768005371.1
Asia,,2005,84269187927246.1
Asia,,2006,85706893920898.44
Asia,,2007,92059196472167.97
Asia,,2008,94054328918457.03
Asia,,2009,96154258728027.34
Asia,,2010,105536666870117.19
Asia,,2011,106430191040039.06
Asia,,2012,105486358642578.12
Asia,,2013,105092391967773.44
Asia,,2014,106635520935058.6
Asia,,2015,106582168579101.56
Asia,,2016,108495643615722.66
Asia,,2017,106731964111328.12
Asia,,2018,107880241394042.97
Asia,,2019,109192657470703.12
Asia,,2020,109024414062500
Asia Pacific (BP),,1980,3960505723953.247
Asia Pacific (BP),,1981,4565401554107.666
Asia Pacific (BP),,1982,5011799335479.736
Asia Pacific (BP),,1983,5107079982757.568
Asia Pacific (BP),,1984,5863704204559.326
Asia Pacific (BP),,1985,6189464569091.797
Asia Pacific (BP),,1986,6799891948699.951
Asia Pacific (BP),,1987,7104082107543.945
Asia Pacific (BP),,1988,7289434909820.557
Asia Pacific (BP),,1989,7869379520416.26
Asia Pacific (BP),,1990,8251343727111.816
Asia Pacific (BP),,1991,7509833812713.623
Asia Pacific (BP),,1992,7771208286285.4
Asia Pacific (BP),,1993,7981892108917.236
Asia Pacific (BP),,1994,8281659126281.738
Asia Pacific (BP),,1995,8233971595764.16
Asia Pacific (BP),,1996,7932479858398.4375
Asia Pacific (BP),,1997,8251443862915.039
Asia Pacific (BP),,1998,9082312583923.34
Asia Pacific (BP),,1999,9390206336975.098
Asia Pacific (BP),,2000,9815051078796.387
Asia Pacific (BP),,2001,10344284057617.188
Asia Pacific (BP),,2002,10317543983459.473
Asia Pacific (BP),,2003,10392481803894.043
Asia Pacific (BP),,2004,10759801864624.023
Asia Pacific (BP),,2005,10869497299194.336
Asia Pacific (BP),,2006,11168620109558.105
Asia Pacific (BP),,2007,12235752105712.89
Asia Pacific (BP),,2008,13706830978393.555
Asia Pacific (BP),,2009,13911232948303.223
Asia Pacific (BP),,2010,13521760940551.758
Asia Pacific (BP),,2011,13763407707214.355
Asia Pacific (BP),,2012,13880831718444.824
Asia Pacific (BP),,2013,14233170509338.379
Asia Pacific (BP),,2014,14041744232177.734
Asia Pacific (BP),,2015,14654056549072.266
Asia Pacific (BP),,2016,15455543518066.406
Asia Pacific (BP),,2017,15974779129028.32
Asia Pacific (BP),,2018,16081911087036.133
Asia Pacific (BP),,2019,16784866333007.812
Asia Pacific (BP),,2020,16560028076171.875
Australia,AUS,1980,141335994005.20325
Australia,AUS,1981,356382012367.24854
Australia,AUS,1982,499980002641.67786
Australia,AUS,1983,490619987249.3744
Australia,AUS,1984,537419974803.92456
Australia,AUS,1985,553020000457.7637
Australia,AUS,1986,703559994697.5708
Australia,AUS,1987,833819985389.7095
Australia,AUS,1988,805739998817.4438
Australia,AUS,1989,744899988174.4385
Australia,AUS,1990,723060011863.7085
Australia,AUS,1991,740999996662.1399
Australia,AUS,1992,784680008888.2446
Australia,AUS,1993,773760020732.8796
Australia,AUS,1994,1007760047912.5977
Australia,AUS,1995,985920011997.2229
Australia,AUS,1996,1060799956321.7163
Australia,AUS,1997,1165320038795.4712
Australia,AUS,1998,1551419973373.413
Australia,AUS,1999,1551419973373.413
Australia,AUS,2000,1718340039253.2349
Australia,AUS,2001,2080260038375.8545
Australia,AUS,2002,1971840023994.4458
Australia,AUS,2003,1857664346694.9463
Australia,AUS,2004,1811644434928.894
Australia,AUS,2005,1835824370384.2163
Australia,AUS,2006,1851983666419.983
Australia,AUS,2007,1788283824920.6543
Australia,AUS,2008,2743263959884.6436
Australia,AUS,2009,2753443002700.8057
Australia,AUS,2010,2859664916992.1875
Australia,AUS,2011,2814823865890.503
Australia,AUS,2012,2819435596466.0645
Australia,AUS,2013,2820378303527.832
Australia,AUS,2014,2386109113693.2373
Australia,AUS,2015,2389595508575.4395
Australia,AUS,2016,2389595508575.4395
Australia,AUS,2017,2389595508575.4395
Australia,AUS,2018,2389595508575.4395
Australia,AUS,2019,2389595508575.4395
Australia,AUS,2020,2389595508575.4395
Azerbaijan,AZE,1997,655689001083.374
Azerbaijan,AZE,1998,655689001083.374
Azerbaijan,AZE,1999,990199685096.7407
Azerbaijan,AZE,2000,990199685096.7407
Azerbaijan,AZE,2001,990199685096.7407
Azerbaijan,AZE,2002,990199685096.7407
Azerbaijan,AZE,2003,990199685096.7407
Azerbaijan,AZE,2004,990199685096.7407
Azerbaijan,AZE,2005,990199685096.7407
Azerbaijan,AZE,2006,990199685096.7407
Azerbaijan,AZE,2007,997965931892.395
Azerbaijan,AZE,2008,1055436372756.958
Azerbaijan,AZE,2009,1017381668090.8203
Azerbaijan,AZE,2010,1020923018455.5054
Azerbaijan,AZE,2011,1020923018455.5054
Azerbaijan,AZE,2012,1020923018455.5054
Azerbaijan,AZE,2013,945809006.2253177
Azerbaijan,AZE,2014,1339218497276.3062
Azerbaijan,AZE,2015,1318744778633.1177
Azerbaijan,AZE,2016,1318744778633.1177
Azerbaijan,AZE,2017,1318744778633.1177
Azerbaijan,AZE,2018,2094893217086.792
Azerbaijan,AZE,2019,2503652811050.415
Azerbaijan,AZE,2020,2503652811050.415
Bahrain,BHR,1980,569685637950.8972
Bahrain,BHR,1981,550125598907.4707
Bahrain,BHR,1982,542790591716.76636
Bahrain,BHR,1983,533010601997.3755
Bahrain,BHR,1984,523230552673.33984
Bahrain,BHR,1985,511005580425.26245
Bahrain,BHR,1986,498780548572.5403
Bahrain,BHR,1987,484110534191.1316
Bahrain,BHR,1988,464550495147.7051
Bahrain,BHR,1989,447435498237.60986
Bahrain,BHR,1990,432765483856.2012
Bahrain,BHR,1991,422985464334.4879
Bahrain,BHR,1992,408315449953.0792
Bahrain,BHR,1993,388755440711.9751
Bahrain,BHR,1994,374085396528.244
Bahrain,BHR,1995,359415382146.8353
Bahrain,BHR,1996,347190380096.43555
Bahrain,BHR,1997,347190380096.43555
Bahrain,BHR,1998,347190380096.43555
Bahrain,BHR,1999,288510322570.8008
Bahrain,BHR,2000,268950283527.37427
Bahrain,BHR,2001,268950283527.37427
Bahrain,BHR,2002,268950283527.37427
Bahrain,BHR,2003,224940240383.1482
Bahrain,BHR,2004,220050245523.45276
Bahrain,BHR,2005,220050245523.45276
Bahrain,BHR,2006,220050245523.45276
Bahrain,BHR,2007,207825228571.89178
Bahrain,BHR,2008,220050245523.45276
Bahrain,BHR,2009,220050245523.45276
Bahrain,BHR,2010,207998588681.221
Bahrain,BHR,2011,207998588681.221
Bahrain,BHR,2012,189356192946.43402
Bahrain,BHR,2013,180988907814.02588
Bahrain,BHR,2014,172200843691.82587
Bahrain,BHR,2015,163461327552.7954
Bahrain,BHR,2016,173789918422.69897
Bahrain,BHR,2017,182469531893.73016
Bahrain,BHR,2018,182926848530.76935
Bahrain,BHR,2019,77313497662.54425
Bahrain,BHR,2020,64831428229.80881
Bangladesh,BGD,1980,278849989175.7965
Bangladesh,BGD,1981,309074997901.9165
Bangladesh,BGD,1982,330525010824.2035
Bangladesh,BGD,1983,303225010633.4686
Bangladesh,BGD,1984,344175010919.5709
Bangladesh,BGD,1985,344175010919.5709
Bangladesh,BGD,1986,345149993896.4844
Bangladesh,BGD,1987,345149993896.4844
Bangladesh,BGD,1988,341250002384.1858
Bangladesh,BGD,1989,706875026226.0437
Bangladesh,BGD,1990,706875026226.0437
Bangladesh,BGD,1991,702000021934.5093
Bangladesh,BGD,1992,295424997806.5491
Bangladesh,BGD,1993,289575010538.1012
Bangladesh,BGD,1994,293475002050.3998
Bangladesh,BGD,1995,265199989080.42908
Bangladesh,BGD,1996,292499989271.16394
Bangladesh,BGD,1997,289575010538.1012
Bangladesh,BGD,1998,289575010538.1012
Bangladesh,BGD,1999,314924985170.3644
Bangladesh,BGD,2000,298350006341.9342
Bangladesh,BGD,2001,331499993801.11694
Bangladesh,BGD,2002,331499993801.11694
Bangladesh,BGD,2003,422174990177.15454
Bangladesh,BGD,2004,411449998617.17224
Bangladesh,BGD,2005,396824985742.569
Bangladesh,BGD,2006,373425006866.4551
Bangladesh,BGD,2007,364650011062.6221
Bangladesh,BGD,2008,335399985313.4155
Bangladesh,BGD,2009,354900002479.5532
Bangladesh,BGD,2010,345149993896.4844
Bangladesh,BGD,2011,340274989604.94995
Bangladesh,BGD,2012,265375912189.48364
Bangladesh,BGD,2013,243715286254.8828
Bangladesh,BGD,2014,223447397351.26495
Bangladesh,BGD,2015,197675645351.4099
Bangladesh,BGD,2016,177890717983.24585
Bangladesh,BGD,2017,162362471222.8775
Bangladesh,BGD,2018,120421439409.25598
Bangladesh,BGD,2019,110227264463.90152
Bangladesh,BGD,2020,110227264463.90152
Bolivia,BOL,1980,120142497122.28775
Bolivia,BOL,1981,155750989913.94043
Bolivia,BOL,1982,133942008018.49365
Bolivia,BOL,1983,128344997763.63373
Bolivia,BOL,1984,129309996962.5473
Bolivia,BOL,1985,131239995360.37445
Bolivia,BOL,1986,136065006256.10352
Bolivia,BOL,1987,112229503691.19644
Bolivia,BOL,1988,113773502409.45816
Bolivia,BOL,1989,113387502729.89273
Bolivia,BOL,1990,109430998563.76648
Bolivia,BOL,1991,114062994718.55164
Bolivia,BOL,1992,106632500886.91711
Bolivia,BOL,1993,104123502969.74182
Bolivia,BOL,1994,105764001607.8949
Bolivia,BOL,1995,105764001607.8949
Bolivia,BOL,1996,103837892413.13934
Bolivia,BOL,1997,114768192172.05048
Bolivia,BOL,1998,144826531410.2173
Bolivia,BOL,1999,144826531410.2173
Bolivia,BOL,2000,188353627920.15076
Bolivia,BOL,2001,216844096779.8233
Bolivia,BOL,2002,227132320404.05273
Bolivia,BOL,2003,218426898121.8338
Bolivia,BOL,2004,211304277181.62537
Bolivia,BOL,2005,207508474588.39417
Bolivia,BOL,2006,203469961881.63757
Bolivia,BOL,2007,199274674057.9605
Bolivia,BOL,2008,271648257970.80994
Bolivia,BOL,2009,271648257970.80994
Bolivia,BOL,2010,271648257970.80994
Bolivia,BOL,2011,271648257970.80994
Bolivia,BOL,2012,306048512458.8013
Bolivia,BOL,2013,286920487880.7068
Bolivia,BOL,2014,270525038242.3401
Bolivia,BOL,2015,270525038242.3401
Bolivia,BOL,2016,292418152093.8873
Bolivia,BOL,2017,247024878859.51996
Bolivia,BOL,2018,229946270585.06012
Bolivia,BOL,2019,212867677211.76147
Bolivia,BOL,2020,212867677211.76147
Brazil,BRA,1980,51674999296.66519
Brazil,BRA,1981,58499999344.34891
Brazil,BRA,1982,70200003683.56705
Brazil,BRA,1983,79949997365.4747
Brazil,BRA,1984,81900000572.20459
Brazil,BRA,1985,90674996376.0376
Brazil,BRA,1986,93599997460.84213
Brazil,BRA,1987,102375000715.25574
Brazil,BRA,1988,106274999678.13492
Brazil,BRA,1989,113099999725.81863
Brazil,BRA,1990,112125001847.74399
Brazil,BRA,1991,120899997651.577
Brazil,BRA,1992,129675000905.9906
Brazil,BRA,1993,133575007319.45038
Brazil,BRA,1994,142350003123.2834
Brazil,BRA,1995,150150001049.04175
Brazil,BRA,1996,154049992561.34033
Brazil,BRA,1997,222299993038.1775
Brazil,BRA,1998,220349997282.0282
Brazil,BRA,1999,225225001573.56262
Brazil,BRA,2000,215474992990.49377
Brazil,BRA,2001,226654931902.88544
Brazil,BRA,2002,252127826213.83667
Brazil,BRA,2003,252945423126.2207
Brazil,BRA,2004,336192429065.70435
Brazil,BRA,2005,315893083810.8063
Brazil,BRA,2006,358687818050.3845
Brazil,BRA,2007,376304507255.5542
Brazil,BRA,2008,375526845455.1697
Brazil,BRA,2009,378474473953.2471
Brazil,BRA,2010,436115890741.34827
Brazil,BRA,2011,473644584417.34314
Brazil,BRA,2012,473422020673.75183
Brazil,BRA,2013,472365528345.10803
Brazil,BRA,2014,485698223114.0137
Brazil,BRA,2015,443286150693.89343
Brazil,BRA,2016,389105677604.6753
Brazil,BRA,2017,380884081125.2594
Brazil,BRA,2018,380346804857.254
Brazil,BRA,2019,375278651714.32495
Brazil,BRA,2020,348528325557.70874
Brunei,BRN,1980,201824992895.12634
Brunei,BRN,1981,206699997186.66077
Brunei,BRN,1982,215474992990.49377
Brunei,BRN,1983,212549999356.26984
Brunei,BRN,1984,232050001621.24634
Brunei,BRN,1985,232050001621.24634
Brunei,BRN,1986,331499993801.11694
Brunei,BRN,1987,322724997997.28394
Brunei,BRN,1988,313950002193.4509
Brunei,BRN,1989,309074997901.9165
Brunei,BRN,1990,322724997997.28394
Brunei,BRN,1991,386099994182.5867
Brunei,BRN,1992,389999985694.88525
Brunei,BRN,1993,389999985694.88525
Brunei,BRN,1994,389999985694.88525
Brunei,BRN,1995,389999985694.88525
Brunei,BRN,1996,389999985694.88525
Brunei,BRN,1997,381224989891.05225
Brunei,BRN,1998,372449994087.21924
Brunei,BRN,1999,364650011062.6221
Brunei,BRN,2000,356849998235.7025
Brunei,BRN,2001,347099989652.63367
Brunei,BRN,2002,341250002384.1858
Brunei,BRN,2003,336374998092.65137
Brunei,BRN,2004,336374998092.65137
Brunei,BRN,2005,324674993753.4332
Brunei,BRN,2006,312974989414.2151
Brunei,BRN,2007,312974989414.2151
Brunei,BRN,2008,312974989414.2151
Brunei,BRN,2009,301275014877.31934
Brunei,BRN,2010,293706625699.99695
Brunei,BRN,2011,280800014734.2682
Brunei,BRN,2012,269100010395.05005
Brunei,BRN,2013,263249993324.2798
Brunei,BRN,2014,256424993276.59607
Brunei,BRN,2015,251549988985.06165
Brunei,BRN,2016,245700001716.61377
Brunei,BRN,2017,233999997377.39563
Brunei,BRN,2018,222299993038.1775
Brunei,BRN,2019,222299993038.1775
Brunei,BRN,2020,222299993038.1775
CIS (BP),,1980,20469295501708.984
CIS (BP),,1981,21748626708984.375
CIS (BP),,1982,22388292312622.07
CIS (BP),,1983,23027957916259.766
CIS (BP),,1984,23987457275390.625
CIS (BP),,1985,25586620330810.547
CIS (BP),,1986,26226284027099.61
CIS (BP),,1987,26674051284790.04
CIS (BP),,1988,27185783386230.47
CIS (BP),,1989,33262603759765.625
CIS (BP),,1990,34880958557128.906
CIS (BP),,1991,36325592041015.625
CIS (BP),,1992,37120834350585.94
CIS (BP),,1993,38144439697265.625
CIS (BP),,1994,38360744476318.36
CIS (BP),,1995,37834655761718.75
CIS (BP),,1996,37364673614501.95
CIS (BP),,1997,38567943572998.05
CIS (BP),,1998,38421821594238.28
CIS (BP),,1999,38391597747802.734
CIS (BP),,2000,38597202301025.39
CIS (BP),,2001,38801780700683.59
CIS (BP),,2002,39355316162109.375
CIS (BP),,2003,39217784881591.8
CIS (BP),,2004,39075351715087.89
CIS (BP),,2005,39223022460937.5
CIS (BP),,2006,39222721099853.516
CIS (BP),,2007,43258663177490.234
CIS (BP),,2008,43351337432861.33
CIS (BP),,2009,45567569732666.016
CIS (BP),,2010,51330539703369.14
CIS (BP),,2011,51673370361328.125
CIS (BP),,2012,51825386047363.28
CIS (BP),,2013,51108577728271.484
CIS (BP),,2014,52551651000976.56
CIS (BP),,2015,52439250946044.92
CIS (BP),,2016,52858943939208.984
CIS (BP),,2017,55913852691650.39
CIS (BP),,2018,56442661285400.39
CIS (BP),,2019,56767066955566.41
CIS (BP),,2020,56601726531982.42
Canada,CAN,1980,2429699897766.1133
Canada,CAN,1981,2498924970626.831
Canada,CAN,1982,2526225090026.8555
Canada,CAN,1983,2547674894332.8857
Canada,CAN,1984,2738775014877.3193
Canada,CAN,1985,2714400053024.292
Canada,CAN,1986,2677350044250.4883
Canada,CAN,1987,2625674962997.4365
Canada,CAN,1988,2604224920272.827
Canada,CAN,1989,2663700103759.7656
Canada,CAN,1990,2656874895095.825
Canada,CAN,1991,2643224954605.1025
Canada,CAN,1992,2605200052261.3525
Canada,CAN,1993,2176199913024.9023
Canada,CAN,1994,1850550055503.8452
Canada,CAN,1995,1880774974822.998
Canada,CAN,1996,1893450021743.7744
Canada,CAN,1997,1763774991035.4614
Canada,CAN,1998,1704300045967.102
Canada,CAN,1999,1676025032997.1313
Canada,CAN,2000,1640925049781.7993
Canada,CAN,2001,1651649951934.8145
Canada,CAN,2002,1622400045394.8975
Canada,CAN,2003,1562924981117.2485
Canada,CAN,2004,1559999942779.541
Canada,CAN,2005,1555013418197.6318
Canada,CAN,2006,1561825633049.0112
Canada,CAN,2007,1556217312812.8052
Canada,CAN,2008,1670907855033.8745
Canada,CAN,2009,1645396113395.691
Canada,CAN,2010,1883070945739.746
Canada,CAN,2011,1829293370246.8872
Canada,CAN,2012,1904480099678.0396
Canada,CAN,2013,1931387066841.1255
Canada,CAN,2014,1892854332923.8892
Canada,CAN,2015,2068144559860.2295
Canada,CAN,2016,1995628237724.3042
Canada,CAN,2017,1984051823616.0278
Canada,CAN,2018,1912506699562.0728
Canada,CAN,2019,1994067788124.0845
Canada,CAN,2020,2353957653045.6543
China,CHN,1980,708328425884.2468
China,CHN,1981,704901695251.4648
China,CHN,1982,865857899188.9954
China,CHN,1983,879968047142.0288
China,CHN,1984,896799385547.638
China,CHN,1985,878859400749.2065
China,CHN,1986,871804296970.3674
China,CHN,1987,901032447814.9414
China,CHN,1988,929353475570.6787
China,CHN,1989,1030845642089.8438
China,CHN,1990,1006858348846.4355
China,CHN,1991,1009680390357.9712
China,CHN,1992,1409904122352.6
China,CHN,1993,1683842182159.4238
China,CHN,1994,1682834267616.272
China,CHN,1995,1682834267616.272
China,CHN,1996,1179606676101.6846
China,CHN,1997,1169427275657.6538
China,CHN,1998,1377652406692.505
China,CHN,1999,1377652406692.505
China,CHN,2000,1377652406692.505
China,CHN,2001,1378458738327.0264
China,CHN,2002,1277965545654.2969
China,CHN,2003,1346625447273.2544
China,CHN,2004,1459548830986.023
China,CHN,2005,1546642184257.5073
China,CHN,2006,1696748495101.9287
China,CHN,2007,2272839307785.034
China,CHN,2008,2710600852966.3086
China,CHN,2009,2868211984634.3994
China,CHN,2010,2747093677520.752
China,CHN,2011,2928997516632.08
China,CHN,2012,3139862298965.454
China,CHN,2013,3374516725540.161
China,CHN,2014,3576437950134.2773
China,CHN,2015,4679402351379.395
China,CHN,2016,5479311466217.041
China,CHN,2017,6070297718048.096
China,CHN,2018,6363927841186.523
China,CHN,2019,8398550033569.336
China,CHN,2020,8398550033569.336
Colombia,COL,1980,118950001895.4277
Colombia,COL,1981,118950001895.4277
Colombia,COL,1982,116999998688.69781
Colombia,COL,1983,110174998641.0141
Colombia,COL,1984,106274999678.13492
Colombia,COL,1985,104324996471.40503
Colombia,COL,1986,110174998641.0141
Colombia,COL,1987,94575002789.49738
Colombia,COL,1988,123824998736.38153
Colombia,COL,1989,106274999678.13492
Colombia,COL,1990,98475001752.37656
Colombia,COL,1991,96524998545.64667
Colombia,COL,1992,180374994874.00055
Colombia,COL,1993,205724999308.58612
Colombia,COL,1994,208649992942.81006
Colombia,COL,1995,211575001478.1952
Colombia,COL,1996,211575001478.1952
Colombia,COL,1997,191100001335.14404
Colombia,COL,1998,191100001335.14404
Colombia,COL,1999,183300003409.38568
Colombia,COL,2000,125774994492.53082
Colombia,COL,2001,124799996614.45618
Colombia,COL,2002,116999998688.69781
Colombia,COL,2003,111149996519.08875
Colombia,COL,2004,116025000810.62317
Colombia,COL,2005,110174998641.0141
Colombia,COL,2006,119924999773.50235
Colombia,COL,2007,120270855724.81155
Colombia,COL,2008,119485780596.7331
Colombia,COL,2009,129106789827.3468
Colombia,COL,2010,147313103079.79584
Colombia,COL,2011,148893892765.04517
Colombia,COL,2012,156089201569.5572
Colombia,COL,2013,150120362639.4272
Colombia,COL,2014,129706397652.62604
Colombia,COL,2015,118858918547.63031
Colombia,COL,2016,109665110707.28302
Colombia,COL,2017,106185354292.39273
Colombia,COL,2018,103078290820.12177
Colombia,COL,2019,86207464337.34894
Colombia,COL,2020,86207464337.34894
Denmark,DNK,1980,85484996438.02643
Denmark,DNK,1981,85484996438.02643
Denmark,DNK,1982,85484996438.02643
Denmark,DNK,1983,102164998650.55084
Denmark,DNK,1984,107377499341.96472
Denmark,DNK,1985,94867497682.57141
Denmark,DNK,1986,74017502367.49649
Denmark,DNK,1987,72975002229.21371
Denmark,DNK,1988,82357503473.7587
Denmark,DNK,1989,112590000033.3786
Denmark,DNK,1990,103207498788.83362
Denmark,DNK,1991,105292499065.39917
Denmark,DNK,1992,134482502937.3169
Denmark,DNK,1993,131355002522.46857
Denmark,DNK,1994,129270002245.90302
Denmark,DNK,1995,125100001692.77191
Denmark,DNK,1996,118845000863.07526
Denmark,DNK,1997,115717500448.22693
Denmark,DNK,1998,108419999480.2475
Denmark,DNK,1999,138449996709.8236
Denmark,DNK,2000,140400007367.1341
Denmark,DNK,2001,137474998831.74896
Denmark,DNK,2002,125774994492.53082
Denmark,DNK,2003,132599994540.21454
Denmark,DNK,2004,128700003027.91595
Denmark,DNK,2005,118950001895.4277
Denmark,DNK,2006,116999998688.69781
Denmark,DNK,2007,71931779384.61304
