Entity,Code,Year,Oil - Proved reserves
Australia,AUS,1994,3817915201.187134
Australia,AUS,1995,3799045801.1627197
Australia,AUS,1996,3817915201.187134
Australia,AUS,1997,4038058280.944824
Australia,AUS,1998,4773966312.408447
Australia,AUS,1999,4742517471.313477
Australia,AUS,2000,4943791389.465332
Australia,AUS,2001,4956370830.535889
Australia,AUS,2002,4572692394.256592
Australia,AUS,2003,3749438047.4090576
Australia,AUS,2004,3889260530.4718018
Australia,AUS,2005,3718341112.136841
Australia,AUS,2006,3514519691.467285
Australia,AUS,2007,3428959608.078003
Australia,AUS,2008,4239200592.0410156
Australia,AUS,2009,4061399936.6760254
Australia,AUS,2010,3831079721.4508057
Australia,AUS,2011,3872944593.4295654
Australia,AUS,2012,3921967506.4086914
Australia,AUS,2013,3957498550.415039
Australia,AUS,2014,2390341997.1466064
Australia,AUS,2015,2390341997.1466064
Australia,AUS,2016,2390341997.1466064
Australia,AUS,2017,2390341997.1466064
Australia,AUS,2018,2390341997.1466064
Australia,AUS,2019,2390341997.1466064
Australia,AUS,2020,2390341997.1466064
Azerbaijan,AZE,1991,1253999948.501587
Azerbaijan,AZE,1992,1253999948.501587
Azerbaijan,AZE,1993,1253999948.501587
Azerbaijan,AZE,1994,1156999945.640564
Azerbaijan,AZE,1995,1156999945.640564
Azerbaijan,AZE,1996,1156999945.640564
Azerbaijan,AZE,1997,1156999945.640564
Azerbaijan,AZE,1998,1156999945.640564
Azerbaijan,AZE,1999,1177999973.2971191
Azerbaijan,AZE,2000,1177999973.2971191
Azerbaijan,AZE,2001,1177999973.2971191
Azerbaijan,AZE,2002,7000000000
Azerbaijan,AZE,2003,7000000000
Azerbaijan,AZE,2004,7000000000
Azerbaijan,AZE,2005,7000000000
Azerbaijan,AZE,2006,7000000000
Azerbaijan,AZE,2007,7000000000
Azerbaijan,AZE,2008,7000000000
Azerbaijan,AZE,2009,7000000000
Azerbaijan,AZE,2010,7000000000
Azerbaijan,AZE,2011,7000000000
Azerbaijan,AZE,2012,7000000000
Azerbaijan,AZE,2013,7000000000
Azerbaijan,AZE,2014,7000000000
Azerbaijan,AZE,2015,7000000000
Azerbaijan,AZE,2016,7000000000
Azerbaijan,AZE,2017,7000000000
Azerbaijan,AZE,2018,7000000000
Azerbaijan,AZE,2019,7000000000
Azerbaijan,AZE,2020,7000000000
Brazil,BRA,1980,1317966938.0187988
Brazil,BRA,1981,1475841164.5889282
Brazil,BRA,1982,1718439221.382141
Brazil,BRA,1983,1849833369.255066
Brazil,BRA,1984,2016010046.005249
Brazil,BRA,1985,2168060064.315796
Brazil,BRA,1986,2358414888.381958
Brazil,BRA,1987,2550757169.7235107
Brazil,BRA,1988,2816137075.4241943
Brazil,BRA,1989,2759836912.1551514
Brazil,BRA,1990,4513040065.765381
Brazil,BRA,1991,4818340778.35083
Brazil,BRA,1992,4965742588.043213
Brazil,BRA,1993,4982159137.72583
Brazil,BRA,1994,5374442100.524902
Brazil,BRA,1995,6223044395.446777
Brazil,BRA,1996,6680678367.614746
Brazil,BRA,1997,7105945110.321045
Brazil,BRA,1998,7357254505.157471
Brazil,BRA,1999,8153311729.431152
Brazil,BRA,2000,8464488029.47998
Brazil,BRA,2001,8485199928.283691
Brazil,BRA,2002,9804286956.78711
Brazil,BRA,2003,10601589202.88086
Brazil,BRA,2004,11243036270.141602
Brazil,BRA,2005,11772261619.567871
Brazil,BRA,2006,12182000160.217285
Brazil,BRA,2007,12623829841.61377
Brazil,BRA,2008,12801420211.791992
Brazil,BRA,2009,12875670433.044434
Brazil,BRA,2010,14246330261.230469
Brazil,BRA,2011,15049889564.51416
Brazil,BRA,2012,15314221382.141113
Brazil,BRA,2013,15544435501.098633
Brazil,BRA,2014,16184112548.828125
Brazil,BRA,2015,12999781608.581543
Brazil,BRA,2016,12633719444.274902
Brazil,BRA,2017,12793924331.66504
Brazil,BRA,2018,13435306549.072266
Brazil,BRA,2019,12714599609.375
Brazil,BRA,2020,11925011634.82666
Brunei,BRN,1980,1294000029.5639038
Brunei,BRN,1981,1500000000
Brunei,BRN,1982,1445250034.3322754
Brunei,BRN,1983,1526999950.4089355
Brunei,BRN,1984,1470270037.651062
Brunei,BRN,1985,1442999958.9920044
Brunei,BRN,1986,1475000023.841858
Brunei,BRN,1987,1600000023.841858
Brunei,BRN,1988,1200000047.6837158
Brunei,BRN,1989,1151700019.8364258
Brunei,BRN,1990,1123999953.2699585
Brunei,BRN,1991,1149999976.158142
Brunei,BRN,1992,1129999995.2316284
Brunei,BRN,1993,1250000000
Brunei,BRN,1994,1187999963.760376
Brunei,BRN,1995,1123999953.2699585
Brunei,BRN,1996,1090000033.378601
Brunei,BRN,1997,1059999942.779541
Brunei,BRN,1998,1019999980.9265137
Brunei,BRN,1999,1299999952.3162842
Brunei,BRN,2000,1230000019.0734863
Brunei,BRN,2001,1159999966.621399
Brunei,BRN,2002,1100000023.841858
Brunei,BRN,2003,1049999952.3162842
Brunei,BRN,2004,1120300054.550171
Brunei,BRN,2005,1105000019.0734863
Brunei,BRN,2006,1200000047.6837158
Brunei,BRN,2007,1077999949.4552612
Brunei,BRN,2008,1077999949.4552612
Brunei,BRN,2009,1100000023.841858
Brunei,BRN,2010,1100000023.841858
Brunei,BRN,2011,1100000023.841858
Brunei,BRN,2012,1100000023.841858
Brunei,BRN,2013,1100000023.841858
Brunei,BRN,2014,1100000023.841858
Brunei,BRN,2015,1100000023.841858
Brunei,BRN,2016,1100000023.841858
Brunei,BRN,2017,1100000023.841858
Brunei,BRN,2018,1100000023.841858
Brunei,BRN,2019,1100000023.841858
Brunei,BRN,2020,1100000023.841858
CIS (BP),,1980,67000000000
CIS (BP),,1981,63000000000
CIS (BP),,1982,63000000000
CIS (BP),,1983,63000000000
CIS (BP),,1984,63000000000
CIS (BP),,1985,63000000000
CIS (BP),,1986,61000000000
CIS (BP),,1987,59000000000
CIS (BP),,1988,59000000000
CIS (BP),,1989,58500000000
CIS (BP),,1990,58400001525.87891
CIS (BP),,1991,123647865295.41016
CIS (BP),,1992,123647865295.41016
CIS (BP),,1993,122575279235.83984
CIS (BP),,1994,122609283447.26562
CIS (BP),,1995,121139633178.71094
CIS (BP),,1996,121471832275.39062
CIS (BP),,1997,120976989746.09375
CIS (BP),,1998,121058990478.51562
CIS (BP),,1999,120080024719.23828
CIS (BP),,2000,120080024719.23828
CIS (BP),,2001,119263175964.35547
CIS (BP),,2002,123467247009.27734
CIS (BP),,2003,125156700134.27734
CIS (BP),,2004,122853683471.67969
CIS (BP),,2005,121794815063.47656
CIS (BP),,2006,121477722167.96875
CIS (BP),,2007,144871032714.84375
CIS (BP),,2008,144810165405.27344
CIS (BP),,2009,144007949829.10156
CIS (BP),,2010,144244354248.04688
CIS (BP),,2011,144153442382.8125
CIS (BP),,2012,143935592651.3672
CIS (BP),,2013,143460418701.17188
CIS (BP),,2014,141607894897.46094
CIS (BP),,2015,140819198608.39844
CIS (BP),,2016,144726882934.5703
CIS (BP),,2017,145035537719.72656
CIS (BP),,2018,145664779663.08594
CIS (BP),,2019,146248245239.2578
CIS (BP),,2020,146248245239.2578
Canada,CAN,1980,39527523040.771484
Canada,CAN,1981,40175334930.41992
Canada,CAN,1982,40312095642.08984
Canada,CAN,1983,40491260528.56445
Canada,CAN,1984,40531764984.13086
Canada,CAN,1985,40939037322.99805
Canada,CAN,1986,41102001190.18555
Canada,CAN,1987,41201259613.03711
Canada,CAN,1988,41467758178.71094
Canada,CAN,1989,41295703887.93945
Canada,CAN,1990,40293834686.2793
Canada,CAN,1991,40098361968.99414
Canada,CAN,1992,39633991241.45508
Canada,CAN,1993,39495723724.365234
Canada,CAN,1994,48149204254.15039
Canada,CAN,1995,48366558074.95117
Canada,CAN,1996,48942626953.125
Canada,CAN,1997,48803092956.54297
Canada,CAN,1998,49823089599.609375
Canada,CAN,1999,181560455322.26562
Canada,CAN,2000,181503692626.95312
Canada,CAN,2001,180940948486.32812
Canada,CAN,2002,180400009155.27344
Canada,CAN,2003,179902954101.5625
Canada,CAN,2004,179576049804.6875
Canada,CAN,2005,180044113159.1797
Canada,CAN,2006,179361953735.35156
Canada,CAN,2007,178834030151.3672
Canada,CAN,2008,176349914550.78125
Canada,CAN,2009,175015213012.6953
Canada,CAN,2010,174848022460.9375
Canada,CAN,2011,174176879882.8125
Canada,CAN,2012,173716094970.70312
Canada,CAN,2013,173037536621.09375
Canada,CAN,2014,172155990600.58594
Canada,CAN,2015,171512313842.77344
Canada,CAN,2016,170528320312.5
Canada,CAN,2017,171791687011.71875
Canada,CAN,2018,170732192993.16406
Canada,CAN,2019,169124908447.26562
Canada,CAN,2020,168087615966.79688
Chad,TCD,1980,0
Chad,TCD,1981,0
Chad,TCD,1982,0
Chad,TCD,1983,0
Chad,TCD,1984,0
Chad,TCD,1985,0
Chad,TCD,1986,0
Chad,TCD,1987,0
Chad,TCD,1988,0
Chad,TCD,1989,0
Chad,TCD,1990,0
Chad,TCD,1991,0
Chad,TCD,1992,0
Chad,TCD,1993,0
Chad,TCD,1994,0
Chad,TCD,1995,0
Chad,TCD,1996,0
Chad,TCD,1997,0
Chad,TCD,1998,0
Chad,TCD,1999,0
Chad,TCD,2000,899999976.1581421
Chad,TCD,2001,899999976.1581421
Chad,TCD,2002,899999976.1581421
Chad,TCD,2003,899999976.1581421
Chad,TCD,2004,899999976.1581421
Chad,TCD,2005,1500000000
Chad,TCD,2006,1500000000
Chad,TCD,2007,1500000000
Chad,TCD,2008,1500000000
Chad,TCD,2009,1500000000
Chad,TCD,2010,1500000000
Chad,TCD,2011,1500000000
Chad,TCD,2012,1500000000
Chad,TCD,2013,1500000000
Chad,TCD,2014,1500000000
Chad,TCD,2015,1500000000
Chad,TCD,2016,1500000000
Chad,TCD,2017,1500000000
Chad,TCD,2018,1500000000
Chad,TCD,2019,1500000000
Chad,TCD,2020,1500000000
China,CHN,1980,13352621078.49121
China,CHN,1981,13290462493.896484
China,CHN,1982,13258870124.816895
China,CHN,1983,14880852699.279785
China,CHN,1984,16364591598.510742
China,CHN,1985,17087696075.439453
China,CHN,1986,17161289215.08789
China,CHN,1987,17423482894.89746
China,CHN,1988,17283626556.396484
China,CHN,1989,16058490753.173828
China,CHN,1990,16019714355.46875
China,CHN,1991,15513212203.979492
China,CHN,1992,15193110466.003418
China,CHN,1993,16435325622.558594
China,CHN,1994,16257940292.358398
China,CHN,1995,16355062484.74121
China,CHN,1996,16444488525.390625
China,CHN,1997,17021505355.83496
China,CHN,1998,17422822952.270508
China,CHN,1999,15111900329.589844
China,CHN,2000,15190299987.792969
China,CHN,2001,15411499977.111816
China,CHN,2002,15508700370.788574
China,CHN,2003,15475700378.417969
China,CHN,2004,18258876800.53711
China,CHN,2005,18249654769.89746
China,CHN,2006,20220300674.438477
China,CHN,2007,20762500762.939453
China,CHN,2008,21186851501.464844
China,CHN,2009,21617620468.13965
China,CHN,2010,23268007278.442383
China,CHN,2011,23746847152.70996
China,CHN,2012,24427835464.47754
China,CHN,2013,24682514190.67383
China,CHN,2014,25166456222.53418
China,CHN,2015,25626464843.75
China,CHN,2016,25663818359.375
China,CHN,2017,25948200225.83008
China,CHN,2018,26190090179.44336
China,CHN,2019,25962757110.595703
China,CHN,2020,25962757110.595703
Colombia,COL,1980,550000011.920929
Colombia,COL,1981,529999971.3897705
Colombia,COL,1982,610000014.3051147
Colombia,COL,1983,639999985.6948853
Colombia,COL,1984,1100000023.841858
Colombia,COL,1985,1240000009.5367432
Colombia,COL,1986,1700000047.6837158
Colombia,COL,1987,1909999966.621399
Colombia,COL,1988,2049999952.3162842
Colombia,COL,1989,1980000019.0734863
Colombia,COL,1990,1990000009.5367432
Colombia,COL,1991,1884600043.296814
Colombia,COL,1992,3231899976.7303467
Colombia,COL,1993,3156399965.286255
Colombia,COL,1994,3138999938.9648438
Colombia,COL,1995,2951900005.340576
Colombia,COL,1996,2798000097.2747803
Colombia,COL,1997,2577199935.913086
Colombia,COL,1998,2477799892.425537
Colombia,COL,1999,2289200067.5201416
Colombia,COL,2000,1971899986.2670898
Colombia,COL,2001,1842200040.8172607
Colombia,COL,2002,1631700038.909912
Colombia,COL,2003,1542400002.4795532
Colombia,COL,2004,1477599978.4469604
Colombia,COL,2005,1453199982.6431274
Colombia,COL,2006,1509400010.1089478
Colombia,COL,2007,1509999990.4632568
Colombia,COL,2008,1361999988.5559082
Colombia,COL,2009,1360000014.3051147
Colombia,COL,2010,1899999976.158142
Colombia,COL,2011,1987599968.9102173
Colombia,COL,2012,2200000047.683716
Colombia,COL,2013,2377000093.460083
Colombia,COL,2014,2444999933.242798
Colombia,COL,2015,2308000087.738037
Colombia,COL,2016,2002000093.460083
Colombia,COL,2017,1665490031.2423706
Colombia,COL,2018,1782207965.85083
Colombia,COL,2019,1960000038.1469727
Colombia,COL,2020,2036000013.3514404
Congo,COG,1980,705439984.7984314
Congo,COG,1981,733044981.9564819
Congo,COG,1982,754424989.2234802
Congo,COG,1983,738345026.9699097
Congo,COG,1984,798430979.2518616
Congo,COG,1985,755999982.3570251
Congo,COG,1986,719699978.8284302
Congo,COG,1987,694999992.8474426
Congo,COG,1988,750000000
Congo,COG,1989,709999978.5423279
Congo,COG,1990,754499971.8666077
Congo,COG,1991,698300004.0054321
Congo,COG,1992,725000023.8418579
Congo,COG,1993,650499999.5231628
Congo,COG,1994,1412700057.0297241
Congo,COG,1995,1349699974.0600586
Congo,COG,1996,1600000023.841858
Congo,COG,1997,1615000009.5367432
Congo,COG,1998,1700000047.6837158
Congo,COG,1999,1700000047.6837158
Congo,COG,2000,1505913019.1802979
Congo,COG,2001,1505913019.1802979
Congo,COG,2002,1514999985.6948853
Congo,COG,2003,1784999966.621399
Congo,COG,2004,1784000039.100647
Congo,COG,2005,1904999971.3897705
Congo,COG,2006,1940000057.220459
Congo,COG,2007,1940000057.220459
Congo,COG,2008,1940000057.220459
Congo,COG,2009,2000000000
Congo,COG,2010,2000000000
Congo,COG,2011,2000000000
Congo,COG,2012,2000000000
Congo,COG,2013,2673000097.2747803
Congo,COG,2014,2867000102.996826
Congo,COG,2015,2982000112.5335693
Congo,COG,2016,2982000112.5335693
Congo,COG,2017,2982000112.5335693
Congo,COG,2018,2982000112.5335693
Congo,COG,2019,2881999969.482422
Congo,COG,2020,2881999969.482422
Denmark,DNK,1980,449999988.07907104
Denmark,DNK,1981,370999991.8937683
Denmark,DNK,1982,327070146.7990875
Denmark,DNK,1983,308200716.9723511
Denmark,DNK,1984,465445995.33081055
Denmark,DNK,1985,446576565.5040741
Denmark,DNK,1986,402547895.9083557
Denmark,DNK,1987,402547895.9083557
Denmark,DNK,1988,540923714.6377563
Denmark,DNK,1989,628981053.8291931
Denmark,DNK,1990,591242194.1757202
Denmark,DNK,1991,616401433.9447021
Denmark,DNK,1992,748487472.5341797
Denmark,DNK,1993,704458832.7407837
Denmark,DNK,1994,754777312.2787476
Denmark,DNK,1995,912022531.0325623
Denmark,DNK,1996,861704051.4945984
Denmark,DNK,1997,943471610.5461121
Denmark,DNK,1998,880573511.1236572
Denmark,DNK,1999,905732750.8926392
Denmark,DNK,2000,1113296508.7890625
Denmark,DNK,2001,1346019506.4544678
Denmark,DNK,2002,1276831626.8920898
Denmark,DNK,2003,1276831626.8920898
Denmark,DNK,2004,1327150106.4300537
Denmark,DNK,2005,1276831626.8920898
Denmark,DNK,2006,1157325148.5824585
Denmark,DNK,2007,1113296508.7890625
Denmark,DNK,2008,811385571.9566345
Denmark,DNK,2009,918312370.7771301
Denmark,DNK,2010,899442911.1480713
Denmark,DNK,2011,805095791.8167114
Denmark,DNK,2012,729618072.5097656
Denmark,DNK,2013,673009753.2272339
Denmark,DNK,2014,610111653.804779
Denmark,DNK,2015,490605235.0997925
Denmark,DNK,2016,440286755.5618286
Denmark,DNK,2017,427707135.67733765
Denmark,DNK,2018,440286755.5618286
Denmark,DNK,2019,427707135.67733765
Denmark,DNK,2020,427707135.67733765
Ecuador,ECU,1980,569104015.827179
Ecuador,ECU,1981,528315961.3609314
Ecuador,ECU,1982,534101068.97354126
Ecuador,ECU,1983,515226423.74038696
Ecuador,ECU,1984,664470851.4213562
Ecuador,ECU,1985,670840322.971344
Ecuador,ECU,1986,721737682.8193665
Ecuador,ECU,1987,931638240.814209
Ecuador,ECU,1988,885240435.6002808
Ecuador,ECU,1989,842407166.9578552
